ID,Level,NormalAttribute,EliteAttribute,BossAttribute,MVPAttribute,Function
934,134,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
935,135,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
936,136,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
937,137,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
938,138,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
939,139,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
940,140,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
941,141,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
942,142,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
943,143,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
944,144,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
945,145,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
946,146,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
947,147,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
948,148,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
949,149,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
950,150,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
951,151,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
952,152,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
953,153,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
954,154,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
955,155,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
956,156,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
957,157,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
958,158,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
959,159,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
960,160,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
961,161,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
962,162,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
963,163,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
964,164,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
965,165,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
966,166,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
967,167,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
968,168,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
969,169,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
970,170,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
971,171,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
972,172,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
973,173,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
974,174,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
975,175,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
976,176,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
977,177,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
978,178,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
979,179,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
980,180,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
981,181,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
982,182,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
983,183,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
984,184,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
985,185,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
986,186,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
987,187,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
988,188,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
989,189,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
990,190,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
991,191,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
992,192,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
993,193,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
994,194,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
995,195,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
996,196,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
997,197,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
998,198,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
999,199,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
1000,200,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
1001,1,135=0,271=2,566=6,566=6,3
1002,2,238=1,477=3,995=9,995=9,3
1003,3,424=1,848=3,1767=10,1767=10,3
1004,4,461=1,922=4,1922=12,1922=12,3
1005,5,646=2,1293=4,2694=13,2694=13,3
1006,6,832=2,1664=5,3466=15,3466=15,3
1007,7,934=2,1869=5,3895=16,3895=16,3
1008,8,1120=2,2240=6,4667=18,4667=18,3
1009,9,1223=3,2446=7,5097=20,5097=20,3
1010,10,1773=4,3547=9,7390=27,7390=27,3
1011,11,3204=4,6409=10,13353=28,13353=28,3
1012,12,3445=4,6890=10,14354=30,14354=30,3
1013,13,3651=4,7303=11,15215=32,15215=32,3
1014,14,3807=5,7614=12,15864=34,15864=34,3
1015,15,4644=5,9289=12,19354=36,19354=36,3
1016,16,4921=5,9842=13,20506=38,20506=38,3
1017,17,5098=6,10196=14,21241=40,21241=40,3
1018,18,5329=6,10659=14,22207=42,22207=42,3
1019,19,5504=6,11009=15,22936=44,22936=44,3
1020,20,5769=6,11538=16,24038=46,24038=46,3
1021,21,6014=7,12028=16,25060=48,25060=48,3
1022,22,6219=7,12439=17,25916=50,25916=50,3
1023,23,6366=7,12732=18,26526=52,26526=52,3
1024,24,6568=8,13137=19,27370=54,27370=54,3
1025,25,6995=8,13990=20,29147=57,29147=57,3
1026,26,7255=8,14510=20,30229=59,30229=59,3
1027,27,7434=9,14868=21,30977=61,30977=61,3
1028,28,7618=9,15236=22,31742=64,31742=64,3
1029,29,7719=9,15438=23,32163=66,32163=66,3
1030,30,9324=13,18648=32,38852=91,38852=91,3
1031,31,9537=14,19075=33,39741=94,39741=94,3
1032,32,9679=14,19358=33,40330=96,40330=96,3
1033,33,9942=14,19884=34,41426=99,41426=99,3
1034,34,10085=15,20171=35,42024=101,42024=101,3
1035,35,10814=15,21629=36,45061=104,45061=104,3
1036,36,10960=16,21920=37,45667=106,45667=106,3
1037,37,11244=16,22489=38,46853=109,46853=109,3
1038,38,11391=16,22782=39,47464=112,47464=112,3
1039,39,11538=17,23077=40,48077=114,48077=114,3
1040,40,17257=26,34514=61,71905=177,71905=177,3
1041,41,17651=27,35303=63,73549=181,73549=181,3
1042,42,18224=27,36449=64,75936=185,75936=185,3
1043,43,18659=28,37319=66,77748=189,77748=189,3
1044,44,19085=29,38171=68,79523=194,79523=194,3
1045,45,20276=30,40552=70,84484=202,84484=202,3
1046,46,20828=31,41656=73,86783=209,86783=209,3
1047,47,21327=32,42654=75,88863=214,88863=214,3
1048,48,22172=32,44344=76,92384=219,92384=219,3
1049,49,22633=33,45266=78,94305=224,94305=224,3
1050,50,27019=35,54038=83,112579=237,112579=237,3
1051,51,27763=36,55527=85,115683=242,115683=242,3
1052,52,27900=37,55800=86,116250=248,116250=248,3
1053,53,28014=38,56029=88,116728=253,116728=253,3
1054,54,28368=38,56736=90,118200=258,118200=258,3
1055,55,30248=43,60496=101,126034=291,126034=291,3
1056,56,30476=44,60953=103,126987=297,126987=297,3
1057,57,30932=45,61865=106,128885=303,128885=303,3
1058,58,31252=46,62505=108,130219=309,130219=309,3
1059,59,31405=47,62810=110,130856=315,130856=315,3
1060,60,45342=49,90685=116,188927=331,188927=331,3
1061,61,44681=49,89362=115,186171=331,186171=331,3
1062,62,45002=52,90004=123,187509=353,187509=353,3
1063,63,45334=57,90669=133,188893=382,188893=382,3
1064,64,45635=58,91270=136,190146=389,190146=389,3
1065,65,48101=62,96202=145,200421=416,200421=416,3
1066,66,48590=63,97180=148,202458=424,202458=424,3
1067,67,49424=66,98849=154,205935=440,205935=440,3
1068,68,49876=67,99752=157,207817=449,207817=449,3
1069,69,50963=68,101926=160,212347=458,212347=458,3
1070,70,54238=86,108476=201,225993=576,225993=576,3
1071,71,55223=88,110447=205,230099=587,230099=587,3
1072,72,57893=89,115787=209,241223=599,241223=599,3
1073,73,60073=91,120147=214,250306=611,250306=611,3
1074,74,68978=93,137956=218,287410=622,287410=622,3
1075,75,74966=112,149932=262,312359=749,312359=749,3
1076,76,77995=119,155991=278,324981=796,324981=796,3
1077,77,83589=121,167179=283,348290=809,348290=809,3
1078,78,84318=123,168637=288,351328=823,351328=823,3
1079,79,85443=125,170887=292,356015=836,356015=836,3
1080,80,107541=137,215083=319,448089=913,448089=913,3
1081,81,108271=139,216543=324,451132=928,451132=928,3
1082,82,111135=141,222270=329,463063=942,463063=942,3
1083,83,112072=143,224144=335,466967=958,466967=958,3
1084,84,120615=146,241230=340,502562=973,502562=973,3
1085,85,122807=152,245615=356,511699=1018,511699=1018,3
1086,86,123677=156,247355=366,515323=1046,515323=1046,3
1087,87,125055=159,250111=372,521066=1062,521066=1062,3
1088,88,128397=161,256795=377,534989=1078,534989=1078,3
1089,89,129810=164,259620=383,540876=1095,540876=1095,3
1090,90,139552=168,279104=392,581466=1120,581466=1120,3
1091,91,140817=170,281634=398,586738=1137,586738=1137,3
1092,92,142274=173,284548=404,592808=1155,592808=1155,3
1093,93,151269=175,302538=410,630288=1172,630288=1172,3
1094,94,152595=180,305191=421,635816=1203,635816=1203,3
1095,95,155476=186,310953=435,647819=1245,647819=1245,3
1096,96,156721=189,313442=442,653005=1262,653005=1262,3
1097,97,158860=196,317721=457,661920=1308,661920=1308,3
1098,98,159900=199,319801=464,666252=1326,666252=1326,3
1099,99,173444=201,346889=471,722687=1346,722687=1346,3
1100,100,226662=276,453325=645,944427=1844,944427=1844,3
1101,101,231823=280,463647=654,965932=1869,965932=1869,3
1102,102,233637=284,467274=664,973487=1897,973487=1897,3
1103,103,235310=288,470621=673,980461=1923,980461=1923,3
1104,104,237242=292,474485=683,988510=1951,988510=1951,3
1105,105,240354=304,480708=711,1001475=2032,1001475=2032,3
1106,106,241536=308,483072=720,1006400=2058,1006400=2058,3
1107,107,242514=312,485028=729,1010475=2083,1010475=2083,3
1108,108,242979=316,485959=738,1012415=2109,1012415=2109,3
1109,109,243567=320,487134=747,1014862=2135,1014862=2135,3
1110,110,255900=326,511801=761,1066252=2176,1066252=2176,3
1111,111,256485=330,512971=770,1068690=2202,1068690=2202,3
1112,112,257017=334,514035=780,1070907=2229,1070907=2229,3
1113,113,257534=338,515069=789,1073060=2256,1073060=2256,3
1114,114,258171=342,516342=799,1075713=2283,1075713=2283,3
1115,115,259449=353,518898=825,1081038=2358,1081038=2358,3
1116,116,259589=357,519178=834,1081620=2384,1081620=2384,3
1117,117,259728=361,519457=843,1082203=2410,1082203=2410,3
1118,118,259841=365,519683=852,1082674=2437,1082674=2437,3
1119,119,259981=369,519963=862,1083256=2463,1083256=2463,3
1120,120,261779=375,523559=875,1090748=2500,1090748=2500,3
1121,121,261779=375,523559=875,1090748=2500,1090748=2500,3
1122,122,261779=375,523559=875,1090748=2500,1090748=2500,3
1123,123,261779=375,523559=875,1090748=2500,1090748=2500,3
1124,124,261779=375,523559=875,1090748=2500,1090748=2500,3
1125,125,261779=375,523559=875,1090748=2500,1090748=2500,3
1126,126,261779=375,523559=875,1090748=2500,1090748=2500,3
1127,127,261779=375,523559=875,1090748=2500,1090748=2500,3
1128,128,261779=375,523559=875,1090748=2500,1090748=2500,3
1129,129,261779=375,523559=875,1090748=2500,1090748=2500,3
1130,130,261779=375,523559=875,1090748=2500,1090748=2500,3
1131,131,261779=375,523559=875,1090748=2500,1090748=2500,3
1132,132,261779=375,523559=875,1090748=2500,1090748=2500,3
1133,133,261779=375,523559=875,1090748=2500,1090748=2500,3
1134,134,261779=375,523559=875,1090748=2500,1090748=2500,3
1135,135,261779=375,523559=875,1090748=2500,1090748=2500,3
1136,136,261779=375,523559=875,1090748=2500,1090748=2500,3
1137,137,261779=375,523559=875,1090748=2500,1090748=2500,3
1138,138,261779=375,523559=875,1090748=2500,1090748=2500,3
1139,139,261779=375,523559=875,1090748=2500,1090748=2500,3
1140,140,261779=375,523559=875,1090748=2500,1090748=2500,3
1141,141,261779=375,523559=875,1090748=2500,1090748=2500,3
1142,142,261779=375,523559=875,1090748=2500,1090748=2500,3
1143,143,261779=375,523559=875,1090748=2500,1090748=2500,3
1144,144,261779=375,523559=875,1090748=2500,1090748=2500,3
1145,145,261779=375,523559=875,1090748=2500,1090748=2500,3
1146,146,261779=375,523559=875,1090748=2500,1090748=2500,3
1147,147,261779=375,523559=875,1090748=2500,1090748=2500,3
1148,148,261779=375,523559=875,1090748=2500,1090748=2500,3
1149,149,261779=375,523559=875,1090748=2500,1090748=2500,3
1150,150,261779=375,523559=875,1090748=2500,1090748=2500,3
1151,151,261779=375,523559=875,1090748=2500,1090748=2500,3
1152,152,261779=375,523559=875,1090748=2500,1090748=2500,3
1153,153,261779=375,523559=875,1090748=2500,1090748=2500,3
1154,154,261779=375,523559=875,1090748=2500,1090748=2500,3
1155,155,261779=375,523559=875,1090748=2500,1090748=2500,3
1156,156,261779=375,523559=875,1090748=2500,1090748=2500,3
1157,157,261779=375,523559=875,1090748=2500,1090748=2500,3
1158,158,261779=375,523559=875,1090748=2500,1090748=2500,3
1159,159,261779=375,523559=875,1090748=2500,1090748=2500,3
1160,160,261779=375,523559=875,1090748=2500,1090748=2500,3
1161,161,261779=375,523559=875,1090748=2500,1090748=2500,3
1162,162,261779=375,523559=875,1090748=2500,1090748=2500,3
1163,163,261779=375,523559=875,1090748=2500,1090748=2500,3
1164,164,261779=375,523559=875,1090748=2500,1090748=2500,3
1165,165,261779=375,523559=875,1090748=2500,1090748=2500,3
1166,166,261779=375,523559=875,1090748=2500,1090748=2500,3
1167,167,261779=375,523559=875,1090748=2500,1090748=2500,3
1168,168,261779=375,523559=875,1090748=2500,1090748=2500,3
1169,169,261779=375,523559=875,1090748=2500,1090748=2500,3
1170,170,261779=375,523559=875,1090748=2500,1090748=2500,3
1171,171,261779=375,523559=875,1090748=2500,1090748=2500,3
1172,172,261779=375,523559=875,1090748=2500,1090748=2500,3
1173,173,261779=375,523559=875,1090748=2500,1090748=2500,3
1174,174,261779=375,523559=875,1090748=2500,1090748=2500,3
1175,175,261779=375,523559=875,1090748=2500,1090748=2500,3
1176,176,261779=375,523559=875,1090748=2500,1090748=2500,3
1177,177,261779=375,523559=875,1090748=2500,1090748=2500,3
1178,178,261779=375,523559=875,1090748=2500,1090748=2500,3
1179,179,261779=375,523559=875,1090748=2500,1090748=2500,3
1180,180,261779=375,523559=875,1090748=2500,1090748=2500,3
1181,181,261779=375,523559=875,1090748=2500,1090748=2500,3
1182,182,261779=375,523559=875,1090748=2500,1090748=2500,3
1183,183,261779=375,523559=875,1090748=2500,1090748=2500,3
1184,184,261779=375,523559=875,1090748=2500,1090748=2500,3
1185,185,261779=375,523559=875,1090748=2500,1090748=2500,3
1186,186,261779=375,523559=875,1090748=2500,1090748=2500,3
1187,187,261779=375,523559=875,1090748=2500,1090748=2500,3
1188,188,261779=375,523559=875,1090748=2500,1090748=2500,3
1189,189,261779=375,523559=875,1090748=2500,1090748=2500,3
1190,190,261779=375,523559=875,1090748=2500,1090748=2500,3
1191,191,261779=375,523559=875,1090748=2500,1090748=2500,3
1192,192,261779=375,523559=875,1090748=2500,1090748=2500,3
1193,193,261779=375,523559=875,1090748=2500,1090748=2500,3
1194,194,261779=375,523559=875,1090748=2500,1090748=2500,3
1195,195,261779=375,523559=875,1090748=2500,1090748=2500,3
1196,196,261779=375,523559=875,1090748=2500,1090748=2500,3
1197,197,261779=375,523559=875,1090748=2500,1090748=2500,3
1198,198,261779=375,523559=875,1090748=2500,1090748=2500,3
1199,199,261779=375,523559=875,1090748=2500,1090748=2500,3
1200,200,261779=375,523559=875,1090748=2500,1090748=2500,3
1201,1,4=4,135=7,679=12,1359=18,2
1202,2,7=6,238=10,1194=17,2388=25,2
1203,3,14=7,424=12,2120=20,4241=30,2
1204,4,15=8,461=14,2306=23,4613=34,2
1205,5,21=9,646=16,3233=26,6466=39,2
1206,6,27=11,832=18,4160=29,8320=44,2
1207,7,31=12,934=20,4674=33,9349=49,2
1208,8,37=13,1120=23,5601=37,11203=55,2
1209,9,40=15,1223=25,6116=40,12232=60,2
1210,10,96=20,2892=33,14461=54,28922=81,2
1211,11,150=24,4512=40,22562=64,45125=96,2
1212,12,158=25,4763=43,23819=69,47638=103,2
1213,13,166=27,4981=46,24905=74,49810=111,2
1214,14,171=29,5142=49,25712=79,51424=118,2
1215,15,252=31,7568=52,37840=84,75680=127,2
1216,16,263=33,7907=56,39538=90,79077=135,2
1217,17,270=35,8116=59,40581=95,81163=143,2
1218,18,279=38,8381=63,41908=102,83817=153,2
1219,19,286=40,8585=67,42929=107,85859=161,2
1220,20,296=42,8891=71,44455=114,88910=171,2
1221,21,317=44,9536=74,47684=119,95368=179,2
1222,22,329=47,9889=78,49449=125,98899=188,2
1223,23,341=49,10247=81,51239=131,102479=196,2
1224,24,353=51,10608=86,53040=137,106080=206,2
1225,25,389=54,11699=90,58498=144,116996=216,2
1226,26,403=56,12107=94,60536=151,121072=227,2
1227,27,414=59,12431=99,62157=158,124314=238,2
1228,28,425=62,12750=103,63754=166,127509=249,2
1229,29,433=64,12994=107,64974=172,129949=258,2
1230,30,601=83,18036=139,90181=223,180362=334,2
1231,31,611=86,18359=144,91798=230,183597=346,2
1232,32,618=89,18543=149,92717=238,185435=357,2
1233,33,629=92,18892=154,94464=247,188928=371,2
1234,34,635=96,19079=160,95399=256,190798=384,2
1235,35,709=99,21299=165,106498=264,212997=396,2
1236,36,716=102,21491=170,107457=273,214914=409,2
1237,37,728=106,21849=177,109245=283,218490=425,2
1238,38,734=109,22042=182,110210=292,220421=438,2
1239,39,741=113,22236=188,111180=301,222361=452,2
1240,40,1144=167,34344=279,171723=447,343446=671,2
1241,41,1173=173,35212=288,176061=462,352123=693,2
1242,42,1211=179,36345=299,181727=478,363455=718,2
1243,43,1243=185,37314=308,186571=493,373143=740,2
1244,44,1274=191,38247=318,191237=509,382474=764,2
1245,45,1335=198,40050=330,200250=529,400500=793,2
1246,46,1374=204,41231=340,206155=545,412310=818,2
1247,47,1411=210,42330=351,211650=561,423301=842,2
1248,48,1486=216,44583=361,222917=578,445834=867,2
1249,49,1521=222,45652=370,228264=593,456529=889,2
1250,50,11752=139,29380=248,342774=930,440710=1163,2
1251,51,12730=142,32589=254,356448=953,458290=1191,2
1252,52,13286=146,34750=260,360012=1220,459926=1220,2
1253,53,13841=149,36911=266,363612=1232,461393=1249,2
1254,54,14487=154,39323=274,367248=1244,465677=1284,2
1255,55,15780=170,45085=302,394500=1257,507215=1417,2
1256,56,15937=174,47604=310,398445=1269,510048=1456,2
1257,57,19554=179,53773=319,427745=1496,549958=1496,2
1258,58,21174=184,60877=328,463199=1511,595542=1537,2
1259,59,25167=188,67113=335,489365=1886,629184=1572,2
1260,60,30585=200,95580=355,669065=1905,860227=1557,2
1261,61,34023=202,98290=360,675756=1924,850589=1577,2
1262,62,34363=214,102631=380,682514=1944,855263=1666,2
1263,63,34707=225,107039=401,689339=1963,860137=1756,2
1264,64,35054=231,111444=411,696232=1983,864657=1799,2
1265,65,36637=245,122124=435,712391=2003,915932=1906,2
1266,66,37003=263,125226=469,755678=2023,971586=2052,2
1267,67,40587=280,135290=498,789193=2338,1014677=2182,2
1268,68,40992=292,136643=520,810902=2361,1042589=2278,2
1269,69,41402=305,138009=543,819011=2547,972852=2207,2
1270,70,41816=334,139389=593,827201=2572,1045637=2412,2
1271,71,42763=348,142545=619,835473=2598,1069094=2515,2
1272,72,43191=363,146120=645,881762=2624,1133694=2623,2
1273,73,47491=380,158305=676,923451=2650,1187294=2746,2
1274,74,50393=397,182675=706,1102351=3091,1417308=2871,2
1275,75,62331=432,207770=769,1211993=3122,1558277=3127,2
1276,76,62954=453,210293=805,1269010=3154,1631585=3273,2
1277,77,70983=463,236610=823,1380228=3185,1774579=3345,2
1278,78,71693=471,242376=838,1462619=3217,1880510=3408,2
1279,79,81427=480,271426=847,1583321=3736,1583321=3469,2
1280,80,84460=507,306169=855,1847573=3774,1847573=3662,2
1281,81,95662=515,318873=864,1866048=3812,1860094=3726,2
1282,82,96618=524,322062=873,1916220=3850,1916220=3499,2
1283,83,99369=536,331230=881,1935382=3888,1932179=3575,2
1284,84,100362=555,347126=890,2094727=3927,2094727=3705,2
1285,85,109324=579,364413=899,2125745=3966,2125745=3863,2
1286,86,110417=596,368057=908,2147003=4006,2140206=3973,2
1287,87,111521=608,371738=917,2168473=4046,2165019=4057,2
1288,88,112636=627,375455=926,2221189=4086,2221189=4183,2
1289,89,115570=638,385233=936,2247196=4254,2247196=4254,2
1290,90,116725=652,403102=945,2432514=4297,2432514=4347,2
1291,91,126275=662,420918=954,2456839=4340,2455359=4418,2
1292,92,127538=676,425127=964,2481548=4383,2481548=4508,2
1293,93,136614=694,455381=974,2656394=4427,2656394=4630,2
1294,94,137980=713,459935=983,2682958=4759,2679990=4759,2
